Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,SE,Sweden,EURO,8,11,0,0
2020-03-02,SE,Sweden,EURO,3,14,0,0
2020-03-03,SE,Sweden,EURO,0,14,0,0
2020-03-04,SE,Sweden,EURO,5,19,0,0
2020-03-05,SE,Sweden,EURO,13,32,0,0
2020-03-06,SE,Sweden,EURO,30,62,0,0
2020-03-07,SE,Sweden,EURO,25,87,0,0
2020-03-08,SE,Sweden,EURO,59,146,0,0
2020-03-09,SE,Sweden,EURO,33,179,0,0
2020-03-10,SE,Sweden,EURO,46,225,0,0
2020-03-11,SE,Sweden,EURO,101,326,0,0
2020-03-12,SE,Sweden,EURO,98,424,1,1
2020-03-13,SE,Sweden,EURO,196,620,0,1
2020-03-14,SE,Sweden,EURO,151,771,0,1
2020-03-15,SE,Sweden,EURO,152,923,1,2
2020-03-16,SE,Sweden,EURO,71,994,1,3
2020-03-17,SE,Sweden,EURO,69,1063,2,5
2020-03-18,SE,Sweden,EURO,83,1146,2,7
2020-03-19,SE,Sweden,EURO,119,1265,1,8
2020-03-20,SE,Sweden,EURO,145,1410,6,14
2020-03-21,SE,Sweden,EURO,143,1553,7,21
2020-03-22,SE,Sweden,EURO,180,1733,9,30
2020-03-23,SE,Sweden,EURO,136,1869,8,38
2020-03-24,SE,Sweden,EURO,118,1987,11,49
2020-03-25,SE,Sweden,EURO,182,2169,11,60
2020-03-26,SE,Sweden,EURO,230,2399,21,81
2020-03-27,SE,Sweden,EURO,314,2713,22,103
2020-03-28,SE,Sweden,EURO,286,2999,31,134
2020-03-29,SE,Sweden,EURO,365,3364,32,166
2020-03-30,SE,Sweden,EURO,300,3664,35,201
2020-03-31,SE,Sweden,EURO,280,3944,38,239
2020-04-01,SE,Sweden,EURO,416,4360,45,284
2020-04-02,SE,Sweden,EURO,474,4834,48,332
2020-04-03,SE,Sweden,EURO,486,5320,53,385
2020-04-04,SE,Sweden,EURO,554,5874,70,455
2020-04-05,SE,Sweden,EURO,602,6476,80,535
2020-04-06,SE,Sweden,EURO,357,6833,70,605
2020-04-07,SE,Sweden,EURO,340,7173,85,690
2020-04-08,SE,Sweden,EURO,389,7562,90,780
2020-04-09,SE,Sweden,EURO,739,8301,84,864
2020-04-10,SE,Sweden,EURO,654,8955,148,1012
2020-04-11,SE,Sweden,EURO,645,9600,86,1098
2020-04-12,SE,Sweden,EURO,454,10054,90,1188
2020-04-13,SE,Sweden,EURO,395,10449,102,1290
2020-04-14,SE,Sweden,EURO,464,10913,97,1387
2020-04-15,SE,Sweden,EURO,437,11350,84,1471
2020-04-16,SE,Sweden,EURO,479,11829,91,1562
2020-04-17,SE,Sweden,EURO,604,12433,115,1677
2020-04-18,SE,Sweden,EURO,623,13056,111,1788
2020-04-19,SE,Sweden,EURO,689,13745,83,1871
2020-04-20,SE,Sweden,EURO,532,14277,86,1957
2020-04-21,SE,Sweden,EURO,388,14665,87,2044
2020-04-22,SE,Sweden,EURO,461,15126,85,2129
2020-04-23,SE,Sweden,EURO,707,15833,62,2191
2020-04-24,SE,Sweden,EURO,723,16556,77,2268
2020-04-25,SE,Sweden,EURO,758,17314,86,2354
2020-04-26,SE,Sweden,EURO,781,18095,89,2443
2020-04-27,SE,Sweden,EURO,473,18568,73,2516
2020-04-28,SE,Sweden,EURO,300,18868,74,2590
2020-04-29,SE,Sweden,EURO,563,19431,74,2664
2020-04-30,SE,Sweden,EURO,742,20173,83,2747
2020-05-01,SE,Sweden,EURO,799,20972,83,2830
2020-05-02,SE,Sweden,EURO,636,21608,78,2908
2020-05-03,SE,Sweden,EURO,532,22140,78,2986
2020-05-04,SE,Sweden,EURO,299,22439,72,3058
2020-05-05,SE,Sweden,EURO,261,22700,75,3133
2020-05-06,SE,Sweden,EURO,477,23177,83,3216
2020-05-07,SE,Sweden,EURO,657,23834,72,3288
2020-05-08,SE,Sweden,EURO,745,24579,73,3361
2020-05-09,SE,Sweden,EURO,785,25364,80,3441
2020-05-10,SE,Sweden,EURO,701,26065,60,3501
2020-05-11,SE,Sweden,EURO,509,26574,68,3569
2020-05-12,SE,Sweden,EURO,279,26853,73,3642
2020-05-13,SE,Sweden,EURO,455,27308,65,3707
2020-05-14,SE,Sweden,EURO,754,28062,61,3768
2020-05-15,SE,Sweden,EURO,698,28760,50,3818
2020-05-16,SE,Sweden,EURO,657,29417,46,3864
2020-05-17,SE,Sweden,EURO,688,30105,58,3922
2020-05-18,SE,Sweden,EURO,358,30463,48,3970
2020-05-19,SE,Sweden,EURO,259,30722,52,4022
2020-05-20,SE,Sweden,EURO,430,31152,59,4081
2020-05-21,SE,Sweden,EURO,666,31818,41,4122
2020-05-22,SE,Sweden,EURO,808,32626,52,4174
2020-05-23,SE,Sweden,EURO,610,33236,53,4227
2020-05-24,SE,Sweden,EURO,532,33768,56,4283
2020-05-25,SE,Sweden,EURO,403,34171,55,4338
2020-05-26,SE,Sweden,EURO,210,34381,44,4382
2020-05-27,SE,Sweden,EURO,490,34871,42,4424
2020-05-28,SE,Sweden,EURO,746,35617,28,4452
2020-05-29,SE,Sweden,EURO,800,36417,38,4490
2020-05-30,SE,Sweden,EURO,774,37191,40,4530
2020-05-31,SE,Sweden,EURO,773,37964,40,4570
2020-06-01,SE,Sweden,EURO,432,38396,38,4608
2020-06-02,SE,Sweden,EURO,265,38661,46,4654
2020-06-03,SE,Sweden,EURO,648,39309,39,4693
2020-06-04,SE,Sweden,EURO,900,40209,36,4729
2020-06-05,SE,Sweden,EURO,1046,41255,28,4757
2020-06-06,SE,Sweden,EURO,1039,42294,44,4801
2020-06-07,SE,Sweden,EURO,1146,43440,37,4838
2020-06-08,SE,Sweden,EURO,780,44220,29,4867
2020-06-09,SE,Sweden,EURO,462,44682,33,4900
2020-06-10,SE,Sweden,EURO,677,45359,38,4938
2020-06-11,SE,Sweden,EURO,937,46296,33,4971
2020-06-12,SE,Sweden,EURO,1437,47733,39,5010
2020-06-13,SE,Sweden,EURO,1293,49026,35,5045
2020-06-14,SE,Sweden,EURO,1329,50355,29,5074
2020-06-15,SE,Sweden,EURO,1032,51387,33,5107
2020-06-16,SE,Sweden,EURO,418,51805,27,5134
2020-06-17,SE,Sweden,EURO,685,52490,30,5164
2020-06-18,SE,Sweden,EURO,1209,53699,28,5192
2020-06-19,SE,Sweden,EURO,1457,55156,32,5224
2020-06-20,SE,Sweden,EURO,1494,56650,29,5253
2020-06-21,SE,Sweden,EURO,1209,57859,30,5283
2020-06-22,SE,Sweden,EURO,698,58557,29,5312
2020-06-23,SE,Sweden,EURO,321,58878,22,5334
2020-06-24,SE,Sweden,EURO,800,59678,20,5354
2020-06-25,SE,Sweden,EURO,1309,60987,25,5379
2020-06-26,SE,Sweden,EURO,1696,62683,22,5401
2020-06-27,SE,Sweden,EURO,1276,63959,23,5424
2020-06-28,SE,Sweden,EURO,1204,65163,11,5435
2020-06-29,SE,Sweden,EURO,755,65918,14,5449
2020-06-30,SE,Sweden,EURO,415,66333,23,5472
