Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,ES,Spain,EURO,23,70,0,1
2020-03-02,ES,Spain,EURO,19,89,0,1
2020-03-03,ES,Spain,EURO,37,126,0,1
2020-03-04,ES,Spain,EURO,72,198,0,1
2020-03-05,ES,Spain,EURO,85,283,1,2
2020-03-06,ES,Spain,EURO,99,382,2,4
2020-03-07,ES,Spain,EURO,190,572,1,5
2020-03-08,ES,Spain,EURO,274,846,3,8
2020-03-09,ES,Spain,EURO,290,1136,3,11
2020-03-10,ES,Spain,EURO,369,1505,14,25
2020-03-11,ES,Spain,EURO,650,2155,17,42
2020-03-12,ES,Spain,EURO,1036,3191,28,70
2020-03-13,ES,Spain,EURO,1346,4537,35,105
2020-03-14,ES,Spain,EURO,1811,6348,59,164
2020-03-15,ES,Spain,EURO,2178,8526,79,243
2020-03-16,ES,Spain,EURO,2033,10559,108,351
2020-03-17,ES,Spain,EURO,2310,12869,131,482
2020-03-18,ES,Spain,EURO,3264,16133,183,665
2020-03-19,ES,Spain,EURO,4483,20616,191,856
2020-03-20,ES,Spain,EURO,4787,25403,246,1102
2020-03-21,ES,Spain,EURO,5880,31283,322,1424
2020-03-22,ES,Spain,EURO,6531,37814,433,1857
2020-03-23,ES,Spain,EURO,5795,43609,506,2363
2020-03-24,ES,Spain,EURO,5324,48933,551,2914
2020-03-25,ES,Spain,EURO,8208,57141,686,3600
2020-03-26,ES,Spain,EURO,9724,66865,723,4323
2020-03-27,ES,Spain,EURO,10136,77001,824,5147
2020-03-28,ES,Spain,EURO,10113,87114,871,6018
2020-03-29,ES,Spain,EURO,9097,96211,909,6927
2020-03-30,ES,Spain,EURO,7096,103307,839,7766
2020-03-31,ES,Spain,EURO,5093,108400,811,8577
2020-04-01,ES,Spain,EURO,8008,116408,913,9490
2020-04-02,ES,Spain,EURO,7927,124335,899,10389
2020-04-03,ES,Spain,EURO,7063,131398,895,11284
2020-04-04,ES,Spain,EURO,6910,138308,858,12142
2020-04-05,ES,Spain,EURO,6821,145129,786,12928
2020-04-06,ES,Spain,EURO,4670,149799,740,13668
2020-04-07,ES,Spain,EURO,3147,152946,750,14418
2020-04-08,ES,Spain,EURO,5400,158346,766,15184
2020-04-09,ES,Spain,EURO,5325,163671,736,15920
2020-04-10,ES,Spain,EURO,5491,169162,749,16669
2020-04-11,ES,Spain,EURO,4611,173773,667,17336
2020-04-12,ES,Spain,EURO,4442,178215,676,18012
2020-04-13,ES,Spain,EURO,3075,181290,628,18640
2020-04-14,ES,Spain,EURO,2379,183669,544,19184
2020-04-15,ES,Spain,EURO,3129,186798,587,19771
2020-04-16,ES,Spain,EURO,3995,190793,607,20378
2020-04-17,ES,Spain,EURO,3702,194495,552,20930
2020-04-18,ES,Spain,EURO,3417,197912,487,21417
2020-04-19,ES,Spain,EURO,3462,201374,507,21924
2020-04-20,ES,Spain,EURO,2181,203555,435,22359
2020-04-21,ES,Spain,EURO,1446,205001,401,22760
2020-04-22,ES,Spain,EURO,2520,207521,387,23147
2020-04-23,ES,Spain,EURO,2728,210249,427,23574
2020-04-24,ES,Spain,EURO,2769,213018,344,23918
2020-04-25,ES,Spain,EURO,2223,215241,331,24249
2020-04-26,ES,Spain,EURO,2287,217528,330,24579
2020-04-27,ES,Spain,EURO,1293,218821,295,24874
2020-04-28,ES,Spain,EURO,819,219640,272,25146
2020-04-29,ES,Spain,EURO,1653,221293,258,25404
2020-04-30,ES,Spain,EURO,1737,223030,259,25663
2020-05-01,ES,Spain,EURO,1484,224514,236,25899
2020-05-02,ES,Spain,EURO,1440,225954,223,26122
2020-05-03,ES,Spain,EURO,792,226746,176,26298
2020-05-04,ES,Spain,EURO,566,227312,202,26500
2020-05-05,ES,Spain,EURO,452,227764,197,26697
2020-05-06,ES,Spain,EURO,1013,228777,186,26883
2020-05-07,ES,Spain,EURO,981,229758,183,27066
2020-05-08,ES,Spain,EURO,983,230741,153,27219
2020-05-09,ES,Spain,EURO,956,231697,166,27385
2020-05-10,ES,Spain,EURO,917,232614,146,27531
2020-05-11,ES,Spain,EURO,491,233105,125,27656
2020-05-12,ES,Spain,EURO,316,233421,110,27766
2020-05-13,ES,Spain,EURO,1106,234527,122,27888
2020-05-14,ES,Spain,EURO,734,235261,114,28002
2020-05-15,ES,Spain,EURO,807,236068,87,28089
2020-05-16,ES,Spain,EURO,788,236856,86,28175
2020-05-17,ES,Spain,EURO,798,237654,77,28252
2020-05-18,ES,Spain,EURO,348,238002,63,28315
2020-05-19,ES,Spain,EURO,244,238246,61,28376
2020-05-20,ES,Spain,EURO,634,238880,72,28448
2020-05-21,ES,Spain,EURO,855,239735,70,28518
2020-05-22,ES,Spain,EURO,751,240486,57,28575
2020-05-23,ES,Spain,EURO,780,241266,69,28644
2020-05-24,ES,Spain,EURO,823,242089,71,28715
2020-05-25,ES,Spain,EURO,311,242400,60,28775
2020-05-26,ES,Spain,EURO,262,242662,55,28830
2020-05-27,ES,Spain,EURO,550,243212,68,28898
2020-05-28,ES,Spain,EURO,742,243954,54,28952
2020-05-29,ES,Spain,EURO,622,244576,45,28997
2020-05-30,ES,Spain,EURO,661,245237,43,29040
2020-05-31,ES,Spain,EURO,733,245970,45,29085
2020-06-01,ES,Spain,EURO,337,246307,43,29128
2020-06-02,ES,Spain,EURO,182,246489,40,29168
2020-06-03,ES,Spain,EURO,362,246851,34,29202
2020-06-04,ES,Spain,EURO,480,247331,47,29249
2020-06-05,ES,Spain,EURO,604,247935,39,29288
2020-06-06,ES,Spain,EURO,519,248454,48,29336
2020-06-07,ES,Spain,EURO,649,249103,24,29360
2020-06-08,ES,Spain,EURO,271,249374,29,29389
2020-06-09,ES,Spain,EURO,144,249518,21,29410
2020-06-10,ES,Spain,EURO,348,249866,30,29440
2020-06-11,ES,Spain,EURO,451,250317,15,29455
2020-06-12,ES,Spain,EURO,462,250779,31,29486
2020-06-13,ES,Spain,EURO,385,251164,25,29511
2020-06-14,ES,Spain,EURO,495,251659,20,29531
2020-06-15,ES,Spain,EURO,123,251782,23,29554
2020-06-16,ES,Spain,EURO,88,251870,20,29574
2020-06-17,ES,Spain,EURO,299,252169,20,29594
2020-06-18,ES,Spain,EURO,400,252569,11,29605
2020-06-19,ES,Spain,EURO,363,252932,26,29631
2020-06-20,ES,Spain,EURO,392,253324,12,29643
2020-06-21,ES,Spain,EURO,352,253676,17,29660
2020-06-22,ES,Spain,EURO,231,253907,14,29674
2020-06-23,ES,Spain,EURO,168,254075,15,29689
2020-06-24,ES,Spain,EURO,250,254325,7,29696
2020-06-25,ES,Spain,EURO,454,254779,8,29704
2020-06-26,ES,Spain,EURO,348,255127,12,29716
2020-06-27,ES,Spain,EURO,375,255502,12,29728
2020-06-28,ES,Spain,EURO,486,255988,9,29737
2020-06-29,ES,Spain,EURO,262,256250,2,29739
2020-06-30,ES,Spain,EURO,191,256441,12,29751
